search_name,advanced_phrase,
Finanzielle Risiken bei Zulieferern,"(""*Bankrott"" OR ""*insolvent*"" OR ""*insolvenz*"" OR ""*Fehlplanung*"" OR ""*Rückruf*"" OR ""Gewinneinbrüche"" OR ""Gewinneinbruch*"" OR ""Konkurs*"" OR ""Krise*"" OR ""Lieferengpass*"" OR ""Lieferengpässe*"" OR ""Missstand*"" OR ""Restrukturierung*"" OR ""Schieflage"" OR ""Stellenabbau"" OR ""Überschuldung"" OR ""Umstrukturierung*"" OR ""Verluste*"" OR ""Zahlungsschwierigkeiten"" OR ""Zahlungsunfähig*"" OR ""Zahlungsverzug*"")↵↵NEAR/10↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):language=de↵↵AND NOT (""RT @*"" OR ""Nils Freudenberg"" OR m/w OR w/m OR job*:field=url OR *job:field=url OR ""magna cum laude"" OR (michelin NEAR/5 (*stern* OR Führer)) OR ↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):field=author↵↵)",
Streik-Risiken bei Zulieferern,"(""Warnstreik*"" OR ""Streik*"" OR ""Generalstreik*"" OR ""protest*"" OR ""Forderung*"" OR ""Arbeitsniederlegung*"" OR ""Lohnkampf*"" OR ""Arbeitskampf*"" OR ""Widerstand*"" OR ""Tarifverhandlung*"" OR ""Arbeitsbedingungen*"" OR ""Lohnsteigerung*"" OR ""Demonstration*"" OR ""Konflikt*"" OR ""Interessensausgleich*"" OR ""Erzwingungsstreik*"" OR ""Blockade*"")↵↵NEAR/10↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon"")↵↵AND NOT (""RT @*"")",
Compliance-Risiken bei Zulieferern,"(""Korruption*"" OR ""Rechtsverstoß"" OR ""Untreue*"" OR ""Veruntreuung*"" OR ""Vorteilsgewährung*"" OR ""Vorteilsannahme*"" OR ""Bestechung*"" OR ""Bestechlich*"" OR ""Geldwäsche*"" OR ""Complianceverstoß*"" OR ""Complianceverstöße*"" OR ""Schwarze Kasse"" OR ""Schmiergeld*"" OR ""Unrechtsvereinbarung*"" OR ""Schmiergeldaffäre*"" OR ""illegale Zahlung*"" OR ""Wettbewerbsverzerrung"" OR ""Korruptionsverdacht*"" OR ""illegale Absprache*"" OR ""Marktmanipulation*"" OR ""Bilanzfälschung*"")↵↵NEAR/10↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon"")↵↵AND NOT (""RT @*"")",
BMW Earned,BMW:field=title,language=de ↵↵AND NOT (press.bmwgroup:field=url OR 22893372268 OR twitter.com/bmw OR @bmw OR 161192517697 OR twitter.com/bmwdeutschland OR @bmwdeutschland OR (instagram AND BMW:field=author):segment=Pictures)
BMW Earned,"(BMW:field=title OR #BMW):language=de ↵↵AND NOT (161192517697 OR twitter.com/bmwdeutschland OR ""RT @*"" OR (bmw:field=author AND instagram.com:field=url))",
BMW Deutschland Twitter,(twitter.com/bmwdeutschland OR @bmwdeutschland):segment=microblogs,
Streik-Risiken bei Zulieferern,"(""Warnstreik*"" OR ""Streik*"" OR ""Generalstreik*"" OR ""protest*"" OR ""Forderung*"" OR ""Arbeitsniederlegung*"" OR ""Lohnkampf*"" OR ""Arbeitskampf*"" OR ""Widerstand*"" OR ""Tarifverhandlung*"" OR ""Arbeitsbedingungen*"" OR ""Lohnsteigerung*"" OR ""Demonstration*"" OR ""Konflikt*"" OR ""Interessensausgleich*"" OR ""Erzwingungsstreik*"" OR ""Blockade*"")↵↵NEAR/10↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):language=de↵↵AND NOT (""RT @*"")",
Volvo Deutschland Twitter,(twitter.com/VolvoPresseDE OR @VolvoPresseDE):segment=Microblog,
Volvo Earned,"(Volvo:field=title OR #Volvo):language=de ↵↵AND NOT (449196900156 OR twitter.com/VolvoPresseDE OR ""RT @*"" OR (volvocarde:field=author AND instagram.com:field=url))",
Alfa Romeo Deutschland Twitter,(twitter.com/alfa_romeo_de OR @alfa_romeo_de):segment=Microblog,
Alfa Romeo Earned,"(""Alfa Romeo"":field=title OR #alfraromeo):language=de ↵↵AND NOT (114644448629784 OR twitter.com/alfa_romeo_de OR ""RT @*"" OR (alfa_romeo_de:field=author AND instagram.com:field=url))",
Toyota Deutschland Twitter,(twitter.com/Toyota_DE OR @Toyota_DE):segment=Microblog,
Toyota Earned,"(Toyota:field=title  OR #toyota):language=de ↵↵AND NOT (274880759207660 OR twitter.com/Toyota_DE OR @Toyota_DE OR ""RT @*"")",
Hyundai Deutschland Twitter,(twitter.com/Hyundai_DE OR @Hyundai_DE):segment=Microblog,
Hyundai Earned,"(Hyundai:field=title OR #hyundai):language=de ↵↵AND NOT (113698561985108 OR twitter.com/Hyundai_DE OR @Hyundai_DE OR ""RT @*"")",
SAIC,"(""Shanghai Automotive Industry Corporation"" OR SAIC:case sensitive=true):language=de",
